"TreeID","IndicatorName.x","SurveyID.x","FormularString.x","Latest...1.x","Sample.Size.x","Overall.Mean.x","Max.Leaf.Size.x","Max.Leaf.Access.x","Min.Leaf.Size.x","Min.Leaf.Access.x","Max.Leaf.Characteristics.x","Min.Leaf.Characteristics.x","InUse.x.x","Latest...1.y","Sample.Size.y","Overall.Mean.y","Max.Leaf.Size.y","Max.Leaf.Access.y","Min.Leaf.Size.y","Min.Leaf.Access.y","Max.Leaf.Characteristics.y","Min.Leaf.Characteristics.y","InUse.y.x","VariableID.x","DatasetSource.x","MergeResult","AnaResult","Country_ISO.x","Year.x","data1","IndicatorName.y","Country_ISO.y","Year.y","Analysis","Sample.Size","Overall.Mean","Max.Leaf.Size","Max.Leaf.Access","Min.Leaf.Size","Min.Leaf.Access","Max.Leaf.Characteristics","Min.Leaf.Characteristics","FormularString.y","SurveyID.y","Country","Year.y","SurveySource","CountryCode","VersionCode","MetadataFile","InUse.x.y","MICS_Education_data","AdditionalVariables","Religion_data","Ethnicity_data","Language_data","VariableID.y","SurveySouce","DatasetSource.y","InUse.y.y","data2"
"AFG+2010+ContraceptiveMethod+aGroup+Education+Ethnicity+NUnder5+PoorerHousehold+Residence",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Other",NA,NA,NA,0,"ContraceptiveMethod","AFG","2010","ContraceptiveMethod~PoorerHousehold+Residence+aGroup+NUnder5+Education+Ethnicity","3142.149489","0.953863700785879","0.069177212529496","0.989060817354694","0.042948596326316","0.848631017012038","MAX-leaf//Residence~Rural//Ethnicity~Dari+MinorEthnicity//aGroup~25-34//NUnder5~2+3+4+5+6+8","MIN-leaf//Residence~Urban//aGroup~15-24+35+//Education~Higher","aGroup+Education+Ethnicity+NUnder5+PoorerHousehold+Residence","AFG2010","Afghanistan","2010","MICS","Afghanistan","2010","","Y","Ready","",NA,"Ready","NN","W11","BOTH","IR+WM","Y",1
"AFG+2010+ContraceptiveMethod+aGroup+Education+NUnder5+PoorerHousehold+Residence",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Other",NA,NA,NA,0,"ContraceptiveMethod","AFG","2010","ContraceptiveMethod~PoorerHousehold+Residence+aGroup+NUnder5+Education","3142.149489","0.953863700785879","0.696294484924807","0.970052773819271","0.183612328127524","0.896727470336239","MAX-leaf//Residence~Rural","MIN-leaf//Residence~Urban//aGroup~15-24+35+","aGroup+Education+NUnder5+PoorerHousehold+Residence","AFG2010","Afghanistan","2010","MICS","Afghanistan","2010","","Y","Ready","",NA,"Ready","NN","W11","BOTH","IR+WM","Y",1
"AFG+2010+HigherEducation35plus+Ethnicity+PoorerHousehold+Residence+Sex",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Other",NA,NA,NA,0,"HigherEducation35plus","AFG","2010","HigherEducation35plus~PoorerHousehold+Residence+Sex+Ethnicity","18371.680369","0.028870119518026","0.098756614341137","0.1458756831638","0.374785016433132","0.001954815888899","MAX-leaf//Residence~Urban//Sex~Male","MIN-leaf//Residence~Rural//Sex~Female","Ethnicity+PoorerHousehold+Residence+Sex","AFG2010","Afghanistan","2010","MICS","Afghanistan","2010","","Y","Ready","",NA,"Ready","NN","E13","","","Y",1
"AFG+2010+HigherEducation35plus+PoorerHousehold+Residence+Sex",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Other",NA,NA,NA,0,"HigherEducation35plus","AFG","2010","HigherEducation35plus~PoorerHousehold+Residence+Sex","18371.680369","0.028870119518026","0.098756614341137","0.1458756831638","0.374785016433132","0.001954815888899","MAX-leaf//Residence~Urban//Sex~Male","MIN-leaf//Residence~Rural//Sex~Female","PoorerHousehold+Residence+Sex","AFG2010","Afghanistan","2010","MICS","Afghanistan","2010","","Y","Ready","",NA,"Ready","NN","E13","","","Y",1
"AFG+2010+NoViolenceJustifiedAgainstWomen+aGroup+Education+Ethnicity+NUnder5+PoorerHousehold+Residence",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Other",NA,NA,NA,0,"NoViolenceJustifiedAgainstWomen","AFG","2010","NoViolenceJustifiedAgainstWomen~PoorerHousehold+Residence+aGroup+NUnder5+Education+Ethnicity","21290.172133","0.097516481831631","0.045079622325475","0.250308751600682","0.088896864392487","0.026721584862504","MAX-leaf//Education~Higher//NUnder5~0","MIN-leaf//Education~Lower+Secondary//aGroup~25-34+35+//Residence~Rural//Ethnicity~MinorEthnicity","aGroup+Education+Ethnicity+NUnder5+PoorerHousehold+Residence","AFG2010","Afghanistan","2010","MICS","Afghanistan","2010","","Y","Ready","",NA,"Ready","NN","V16","","","Y",1
"AFG+2010+NoViolenceJustifiedAgainstWomen+aGroup+Education+NUnder5+PoorerHousehold+Residence",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Other",NA,NA,NA,0,"NoViolenceJustifiedAgainstWomen","AFG","2010","NoViolenceJustifiedAgainstWomen~PoorerHousehold+Residence+aGroup+NUnder5+Education","21290.172133","0.097516481831631","0.10946181329308","0.229718749271913","0.194853509360303","0.036255888595588","MAX-leaf//Education~Higher","MIN-leaf//Education~Lower+Secondary//aGroup~25-34//Residence~Rural//NUnder5~1+2+3+4+5+6+7+8+9","aGroup+Education+NUnder5+PoorerHousehold+Residence","AFG2010","Afghanistan","2010","MICS","Afghanistan","2010","","Y","Ready","",NA,"Ready","NN","V16","","","Y",1
"AFG+2010+ProfessionalHelp+aGroup+Education+Ethnicity+MarriageStatus+NUnder5+PoorerHousehold+Residence",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Other",NA,NA,NA,0,"ProfessionalHelp","AFG","2010","ProfessionalHelp~PoorerHousehold+Residence+aGroup+MarriageStatus+NUnder5+Education+Ethnicity","4864.935646","0.722607859960169","0.059122357607441","0.945669658736027","0.117486485657821","0.599634684602496","MAX-leaf//Residence~Urban//Education~Secondary+Higher","MIN-leaf//Residence~Rural//NUnder5~3+4+5+6+7+8+9//Ethnicity~Pashto","aGroup+Education+Ethnicity+MarriageStatus+NUnder5+PoorerHousehold+Residence","AFG2010","Afghanistan","2010","MICS","Afghanistan","2010","","Y","Ready","",NA,"Ready","NN","W12","","","Y",1
"AFG+2010+ProfessionalHelp+aGroup+Education+MarriageStatus+NUnder5+PoorerHousehold+Residence",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Other",NA,NA,NA,0,"ProfessionalHelp","AFG","2010","ProfessionalHelp~PoorerHousehold+Residence+aGroup+MarriageStatus+NUnder5+Education","4864.935646","0.722607859960169","0.185606498976491","0.884591196616167","0.169507919940942","0.635501353271813","MAX-leaf//Residence~Urban","MIN-leaf//Residence~Rural//NUnder5~2//PoorerHousehold~1","aGroup+Education+MarriageStatus+NUnder5+PoorerHousehold+Residence","AFG2010","Afghanistan","2010","MICS","Afghanistan","2010","","Y","Ready","",NA,"Ready","NN","W12","","","Y",1
"AFG+2010+SecondaryEducation35plus+Ethnicity+PoorerHousehold+Residence+Sex",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Other",NA,NA,NA,0,"SecondaryEducation35plus","AFG","2010","SecondaryEducation35plus~PoorerHousehold+Residence+Sex+Ethnicity","20794.194988","0.0749818441589","0.097581271560209","0.298108465809538","0.182634199361485","0.000578059349532","MAX-leaf//Residence~Urban//Sex~Male","MIN-leaf//Residence~Rural//Sex~Female//PoorerHousehold~1","Ethnicity+PoorerHousehold+Residence+Sex","AFG2010","Afghanistan","2010","MICS","Afghanistan","2010","","Y","Ready","",NA,"Ready","NN","E16","","","Y",1
"AFG+2010+SecondaryEducation35plus+PoorerHousehold+Residence+Sex",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Other",NA,NA,NA,0,"SecondaryEducation35plus","AFG","2010","SecondaryEducation35plus~PoorerHousehold+Residence+Sex","20794.194988","0.0749818441589","0.097581271560209","0.298108465809538","0.182634199361485","0.000578059349532","MAX-leaf//Residence~Urban//Sex~Male","MIN-leaf//Residence~Rural//Sex~Female//PoorerHousehold~1","PoorerHousehold+Residence+Sex","AFG2010","Afghanistan","2010","MICS","Afghanistan","2010","","Y","Ready","",NA,"Ready","NN","E16","","","Y",1
